objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"Cyclades","54998","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43220410","7.34913","7.54088","2.8267","126","14244","thing","Cyclades","2","5","90","90","60","2009","2,3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","6","1","0","0","0","0","0","0","0","0","0","1","","","","","","37234591","7.6416","7.78642","3.0018","54","36752","thing","Dead of Winter: A Crossroads Game","2","5","210","210","45","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","44855453","7.25465","7.55587","1.62","166","10417","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","8","","0","0","0","0","0","0","0","0","0","3","","","","","","32702803","7.54627","7.77372","3.2065","69","26024","thing","Descent: Journeys in the Dark (Second Edition)","2","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Dixit","39856","6","1","0","0","0","0","0","0","1","0","0","3","","","","","","31716665","7.23797","7.3363","1.2546","173","45576","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"A Dog's Life","205101","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45765245","5.52335","6.51798","1.5","10205","137","thing","A Dog's Life","2","6","60","60","30","2016","2,3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Dominant Species","62219","0","","0","1","0","0","0","1","0","0","0","1","","","","","","34561389","7.66684","7.84907","4.0346","47","14352","thing","Dominant Species","2","6","240","240","120","2010","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Dominion","36218","7","2","0","0","0","0","0","0","1","0","0","3","","","","","","31716549","7.58355","7.67896","2.3719","61","78092","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Dominion (Second Edition)","209418","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","43711209","6.4541","8.23289","2.2308","0","1567","thing","Dominion (Second Edition)","2","4","30","30","30","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Dominion: Intrigue","40834","7","2","0","0","0","0","0","0","1","0","0","3","","","","","","34561381","7.64785","7.77533","2.4408","53","34934","thing","Dominion: Intrigue","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Duck Dealer","38553","0","","0","1","0","0","0","1","0","0","0","1","","","","","","46481663","5.76759","6.3986","3.7593","3308","771","thing","Duck Dealer","2","5","240","240","180","2008","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The Duke","36235","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","38064059","6.96022","7.5222","2.5455","370","5192","thing","The Duke","2","2","30","30","30","2013","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"DungeonQuest (third edition)","71061","6","","0","0","0","0","0","0","0","0","0","3","","","","","","31716829","6.31078","6.66474","2.1498","1196","4015","thing","DungeonQuest (third edition)","1","4","90","90","90","2010","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Eclipse","72125","8","1","0","0","0","0","0","0","0","0","0","1","","","","","","32747813","7.82906","7.98905","3.6826","27","23796","thing","Eclipse","2","6","200","200","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Eldritch Horror","146021","7","1","0","0","0","0","0","0","1","0","0","1","","","","","","37234604","7.69103","7.91888","3.31","44","28289","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre","112686","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","38064145","6.30739","6.62576","1.6","1214","7080","thing","Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre","2","6","30","30","30","2012","3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Exploding Kittens: NSFW Deck","172242","5","3","0","0","0","0","0","0","0","0","0","3","","","","","","34180028","5.90451","6.1798","1.0826","2468","11339","thing","Exploding Kittens: NSFW Deck","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Fabled Fruit","203427","7","8","0","0","0","0","0","0","0","0","0","3","","","","","","43157270","6.70594","7.20218","1.6346","614","4190","thing","Fabled Fruit","2","5","30","30","20","2016","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"A Feast for Odin","177736","0","","0","0","0","0","0","1","0","0","0","1","","","","","","40837796","7.78751","8.21321","3.8681","32","8953","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Fields of Arle","159675","9","1","0","0","0","0","0","0","0","0","0","2","","","","","","37234671","7.64995","8.18847","3.9119","52","7034","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Five Tribes","157354","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","34929460","7.66384","7.80844","2.896","48","26674","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Five Tribes: The Artisans of Naqala","176677","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46079218","7.25413","8.1327","2.8261","0","7555","thing","Five Tribes: The Artisans of Naqala","2","4","80","80","40","2015","2,3,4","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Five Tribes: The Thieves of Naqala","199310","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46079220","6.13534","7.33091","2.875","0","3885","thing","Five Tribes: The Thieves of Naqala","2","4","80","80","40","2016","3,4","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Food Chain Magnate","175914","10","10","0","1","0","0","0","0","0","0","0","1","","","","","","37234636","7.82021","8.23124","4.1973","28","7520","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Forbidden Island","65244","5","2","0","0","0","0","0","0","0","0","0","3","","","","","","39622791","6.75593","6.84282","1.7361","575","49146","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Forbidden Stars","175155","0","","0","0","0","0","0","1","0","0","0","1","","","","","","43937563","7.51098","8.03996","3.7624","77","8613","thing","Forbidden Stars","2","4","180","180","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Fresco","66188","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45151909","7.13633","7.32605","2.6324","238","11404","thing","Fresco","2","4","60","60","60","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Gaia Project","220308","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46100180","7.27451","8.80989","4.2568","159","2350","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Galaxy Trucker","31481","6","1","0","1","1","0","0","0","0","0","0","3","","","","","","46016061","7.35661","7.4627","2.32","121","22878","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"The Gallerist","125153","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","43838270","7.55527","8.02701","4.2642","67","7133","thing","The Gallerist","1","4","150","150","60","2015","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43838279","7.51725","7.71236","3.6618","74","25979","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Gloomhaven","174430","0","","0","0","0","0","0","1","0","0","0","1","","","","","","41622566","8.50552","9.04823","3.7669","1","16187","thing","Gloomhaven","1","4","150","150","90","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Glory to Rome","19857","0","","0","0","0","0","0","1","0","0","0","3","","","","","","42176306","7.31923","7.49384","2.924","139","12558","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Grand Austria Hotel","182874","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43858476","7.38096","7.77639","3.2235","114","6865","thing","Grand Austria Hotel","2","4","120","120","60","2015","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"El Grande","93","0","","0","0","0","0","0","1","0","0","1","3","","","","","","37234628","7.6571","7.79287","3.0812","50","18678","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"La Granja","146886","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921531","7.41109","7.76789","3.5912","101","7724","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Great Western Trail","193738","9","1","0","0","0","0","0","0","0","0","1","3","","","","","","40837798","7.99601","8.28209","3.7172","11","13182","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The Great Zimbabwe","111341","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","38527040","6.97274","7.7442","3.7237","359","2775","thing","The Great Zimbabwe","2","5","150","150","90","2012","2,3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Greed Incorporated","55952","0","","0","1","0","0","0","1","0","0","0","1","","","","","","46481660","6.1705","7.01703","3.5758","1513","919","thing","Greed Incorporated","3","5","180","180","180","2009","3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Hammer of the Scots","3685","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921526","7.06427","7.5648","2.9804","289","4398","thing","Hammer of the Scots","2","2","180","180","120","2002","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Hanabi","98778","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","35476881","7.09772","7.18732","1.7025","266","43565","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Hanafuda","5451","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","45681484","5.88311","6.70694","1.6667","2566","1377","thing","Hanafuda","2","7","60","60","60","1701","2,3","2","8–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Hanamikoji","158600","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","47710028","6.95638","7.55442","1.7018","378","5129","thing","Hanamikoji","2","2","15","15","15","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Hannin Wa Odoru","158991","4","2","0","0","0","0","0","0","1","0","0","1","","","","","","43313529","5.70326","6.50462","1.1852","3926","466","thing","Hannin Wa Odoru","3","8","10","10","10","2013","4,5,6,7","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Haspelknecht","169794","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45586844","6.45171","7.38437","3.0735","944","1962","thing","Haspelknecht","2","4","90","90","60","2015","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Le Havre","35677","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","34287495","7.78728","7.91716","3.7588","31","22124","thing","Le Havre","1","5","150","150","30","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"High Treason: The Trial of Louis Riel","197072","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921705","5.75418","7.60857","2.6667","3428","348","thing","High Treason: The Trial of Louis Riel","2","2","45","45","30","2016","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Hive","2655","8","1","0","0","0","0","0","0","0","0","0","1","","","","","","41989892","7.21094","7.32618","2.3396","194","27448","thing","Hive","2","2","20","20","20","2001","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Honshu","207336","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","38101657","6.57131","7.1005","2.0357","767","3792","thing","Honshu","2","5","40","40","30","2016","2,3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"I'm the Boss!","115","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","39768450","6.48316","6.82509","1.9801","890","3495","thing","I'm the Boss!","3","6","60","60","60","1994","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Imperial Settlers","154203","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921552","7.37009","7.54325","2.7687","117","19406","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Impulse","144239","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921516","6.33485","6.92257","2.9293","1129","2706","thing","Impulse","2","6","60","60","30","2013","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"In the Shadow of the Emperor","13780","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921583","6.54292","6.93202","3.4249","801","3759","thing","In the Shadow of the Emperor","2","4","90","90","90","2004","4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"In the Year of the Dragon","31594","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","46362099","7.19936","7.40576","3.1278","199","7708","thing","In the Year of the Dragon","2","5","100","100","75","2007","2,3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Indonesia","19777","9","1","0","1","0","0","0","0","0","0","0","2","","","","","","43527373","7.21985","7.79415","3.9973","185","3719","thing","Indonesia","2","5","240","240","180","2005","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"An Infamous Traffic","206490","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921711","5.83161","7.38842","3.25","2866","479","thing","An Infamous Traffic","2","5","90","90","45","2016","3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Inis","155821","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","43858455","7.32974","7.81636","2.9512","135","7215","thing","Inis","2","4","90","90","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Istanbul","148949","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","42058458","7.46789","7.62884","2.5913","86","19332","thing","Istanbul","2","5","60","60","40","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Jaipur","54043","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","41526797","7.41708","7.53893","1.5268","99","30134","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Kaigan","61458","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921519","5.93875","6.99105","2.9375","2278","417","thing","Kaigan","3","4","90","90","90","2009","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Kanagawa","200147","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","46386536","6.78848","7.26678","2.0161","533","5043","thing","Kanagawa","2","4","45","45","45","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Kanban: Automotive Revolution","109276","0","","0","0","0","0","0","1","0","0","1","2","","","","","","44525334","7.18768","7.76128","4.3156","204","4410","thing","Kanban: Automotive Revolution","2","4","120","120","90","2014","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Karmaka","172552","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","33159006","6.13567","6.94113","1.9032","1614","2280","thing","Karmaka","2","4","60","60","25","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Kemet","127023","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","42167232","7.53439","7.76722","2.984","70","12502","thing","Kemet","2","5","120","120","90","2012","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Kemet: Ta-Seti","161842","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46079188","6.51129","8.13782","3.0385","0","2947","thing","Kemet: Ta-Seti","2","5","90","90","60","2015","3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Keyflower","122515","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","34561385","7.72841","7.91287","3.3352","38","16260","thing","Keyflower","2","6","120","120","90","2012","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Keyflower: Keymelequin","205504","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46924833","5.6392","7.66765","3","0","1286","thing","Keyflower: Keymelequin","2","6","120","120","90","2016","2,3,4,5,6","4","12+","","","","","","","expansion","","","","","","","","","","","",""
"Keyflower: The Merchants","163572","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46972970","6.48489","8.16072","3.1071","0","3929","thing","Keyflower: The Merchants","2","6","90","90","90","2014","2,3,4,5,6","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"Keyper","212516","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46444943","6.01546","7.5971","3.5263","1986","1028","thing","Keyper","2","4","120","120","90","2017","2,3,4","2,3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The King Is Dead","172996","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","41682018","6.32886","7.19919","2.5526","1159","1717","thing","The King Is Dead","2","4","50","50","30","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"King of Tokyo","70323","4","10","0","0","0","0","0","0","0","0","0","3","","","","","","31976520","7.18884","7.27875","1.5073","207","57647","thing","King of Tokyo","2","6","30","30","30","2014","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","IELLO; Origames","English","2014","English third 5 awards edition"
"King's Forge","126996","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","33898045","6.25538","7.06118","2.3056","1320","1752","thing","King's Forge","2","4","60","60","60","2014","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Lancaster","96913","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46460777","7.1406","7.46972","2.9921","234","6264","thing","Lancaster","2","5","60","60","60","2011","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Lanterns: The Harvest Festival","160851","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","33794332","6.7649","7.02955","1.5741","564","9964","thing","Lanterns: The Harvest Festival","2","4","30","30","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Last Will","97842","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43077602","7.02877","7.25149","2.6866","314","8393","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Legends of the Three Kingdoms","35188","7","","0","0","0","0","0","0","1","0","0","3","","","","","","31474057","5.53487","5.80688","2.1852","9418","751","thing","Legends of the Three Kingdoms","2","10","40","40","40","2007","5,6,7,8,9,10","8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Letters from Whitechapel","59959","7","","0","0","0","0","0","0","0","0","0","3","","","","","","35033544","7.25289","7.47388","2.6841","168","13625","thing","Letters from Whitechapel","2","6","120","120","120","2011","2,3,4,5,6","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Liar's Dice","45","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","43731439","6.77457","6.92442","1.2595","549","12302","thing","Liar's Dice","2","6","30","30","15","1800","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Liberatores: The Conspiracy to Liberate Rome","234946","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45932477","5.53714","6.90556","3","9085","91","thing","Liberatores: The Conspiracy to Liberate Rome","3","6","60","60","40","2017","4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Libertalia","125618","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","37847424","7.06642","7.24733","2.2354","290","11706","thing","Libertalia","2","6","45","45","45","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Lifeboat","4174","7","4","0","1","1","0","0","0","0","0","0","3","","","","","","35026460","6.07164","6.37007","1.6993","1798","3359","thing","Lifeboat","4","6","60","60","60","2013","5,6","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","Gorilla Games","English","2013","English fourth edition"
"Lifeboat Expansion #1: Cannibalism","37036","7","","0","1","1","0","0","0","0","0","0","1","","","","","","37471429","5.77275","6.59489","1.85","0","1278","thing","Lifeboat Expansion #1: Cannibalism","4","7","45","45","45","2008","4,5,6,7","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"Lifeboat Expansion #2: Liquid Courage","85927","7","","0","1","1","0","0","0","0","0","0","1","","","","","","37471430","5.71774","6.63882","1.9231","0","1036","thing","Lifeboat Expansion #2: Liquid Courage","4","8","45","45","45","2010","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"Lignum","174155","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921640","5.97033","7.33449","3.6667","2144","599","thing","Lignum","2","4","120","120","60","2015","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Lisboa","161533","8","1","0","0","0","0","0","0","0","0","0","2","","","","","","44525314","7.17502","8.26362","4.4515","216","4049","thing","Lisboa","1","4","120","120","60","2017","1,2,3,4","","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Lords of Waterdeep","110327","5","2","0","0","0","0","0","0","0","0","0","3","","","","","","35451741","7.67416","7.79028","2.4967","46","39868","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Lost Cities","50","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","38551278","7.058","7.14762","1.5124","295","37236","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Love Letter","129622","6","3","0","1","0","0","0","0","0","0","0","3","","PnP","","","","38087243","7.21151","7.29315","1.2024","189","67202","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Love Letter Premium","196326","6","3","0","0","0","0","0","0","0","0","0","1","","","","","","42978876","6.67907","7.74287","1.4444","639","2974","thing","Love Letter Premium","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Lovecraft Letter","198740","7","7","0","1","0","0","0","0","0","0","0","3","","PnP","","","","45117284","6.15379","7.40538","1.375","1557","1466","thing","Lovecraft Letter","2","6","15","15","5","2017","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Luna","70512","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921550","6.94791","7.37533","3.3295","382","4451","thing","Luna","1","4","100","100","60","2010","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Macao","55670","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921635","7.14764","7.43752","3.1335","229","6131","thing","Macao","2","4","100","100","50","2009","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Die Macher","1","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921284","7.25451","7.65409","4.3499","164","5337","thing","Die Macher","3","5","240","240","240","1986","4,5","5","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Madeira","95527","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921273","7.04778","7.65929","4.2749","301","4244","thing","Madeira","2","4","150","150","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Mage Knight Board Game","96848","7","1","0","0","0","0","0","0","0","0","0","1","","","","","","31716722","7.92871","8.13023","4.2293","16","30304","thing","Mage Knight Board Game","1","4","150","150","150","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Magic: The Gathering","463","7","","0","0","0","0","0","0","0","0","0","3","","","","","","41637213","7.30095","7.44603","3.1568","152","27157","thing","Magic: The Gathering","2","2","20","20","20","1993","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Mahjong","2093","8","","0","0","0","0","0","0","0","0","0","3","","","","","","31717127","6.71498","7.01669","2.5455","603","7182","thing","Mahjong","3","4","120","120","120","1850","4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
