objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"Viticulture: Moor Visitors Expansion","193823","9","","0","1","0","0","0","0","0","0","0","3","","","","","","42168818","6.46352","8.04928","3","0","3465","thing","Viticulture: Moor Visitors Expansion","1","6","90","90","45","2016","","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","",""
"The Voyages of Marco Polo","171623","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","37234118","7.73865","7.97248","3.1894","35","13214","thing","The Voyages of Marco Polo","2","4","100","100","40","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"War of the Ring (Second Edition)","115746","0","","0","0","0","0","0","1","0","0","0","1","","","","","","32747814","7.97527","8.39482","4.0092","12","11968","thing","War of the Ring (Second Edition)","2","4","180","180","150","2012","2,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Warhammer Underworlds: Shadespire","224597","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","47857909","6.39401","8.46105","2.4615","1035","1302","thing","Warhammer Underworlds: Shadespire","2","4","60","60","30","2017","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"The Werewolves of Miller's Hollow","25821","4","","0","0","0","0","0","0","0","0","0","3","","","","","","32302463","6.6245","6.83696","1.3211","706","11883","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","11,12,13,14,15","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"What do you Meme?: A Millennial Card Game For Millennials And Their Millennial Friends","226610","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","45902080","5.48504","5.48616","1","12947","225","thing","What do you Meme?: A Millennial Card Game For Millennials And Their Millennial Friends","3","20","90","90","30","2016","4,5,6,7,8","6","18","","","","","","","standalone","","","","","","","","","","","",""
"Wildcatters","146910","0","","0","0","0","0","0","1","0","0","1","2","","","","","","45525448","6.00573","7.47835","3.7955","1999","541","thing","Wildcatters","2","4","120","120","120","2013","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Wiz-War (eighth edition)","104710","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","31716820","6.75639","7.1236","2.2941","572","5966","thing","Wiz-War (eighth edition)","2","4","60","60","30","2012","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Wiz-War: Malefic Curses","147473","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43011324","6.06891","7.86646","2.25","0","1450","thing","Wiz-War: Malefic Curses","2","5","120","120","120","2014","2,3,4,5","4,5","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"XCOM: The Board Game","163602","3","","0","0","0","0","0","0","0","0","0","3","","","","","","35031226","6.86816","7.15746","2.9106","463","8956","thing","XCOM: The Board Game","1","4","120","120","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Xenon Profiteer","176530","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","33159024","6.1533","7.31906","2.1765","1560","882","thing","Xenon Profiteer","2","4","30","30","30","2015","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Yokohama","196340","0","","0","0","0","0","0","1","0","0","0","3","","","","","","45766742","7.3796","7.99157","3.3488","115","5620","thing","Yokohama","2","4","90","90","90","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Yunnan","143401","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428501","6.3136","7.14926","3.2292","1185","1372","thing","Yunnan","2","5","90","90","90","2013","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"ZhanGuo","160495","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921560","6.94649","7.65839","3.7935","387","3233","thing","ZhanGuo","2","4","120","120","60","2014","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Zombie Fluxx","29387","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","31717097","5.8714","6.03034","1.4384","2634","10237","thing","Zombie Fluxx","2","6","40","40","10","2007","2,3,4,5,6","4,5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
